title,tag,info,comments,content
城南旧事,豆瓣图书标签: 中国文学,林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元,(98502人评价),多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“...
撒哈拉的故事,豆瓣图书标签: 中国文学,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,(76140人评价),三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后...
许三观卖血记,豆瓣图书标签: 中国文学,余华 / 南海出版公司 / 1998-9 / 16.80元,(189182人评价),《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...
白鹿原,豆瓣图书标签: 中国文学,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,(43276人评价),在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家...
呐喊,豆瓣图书标签: 中国文学,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,(88977人评价),《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改...
房思琪的初恋乐园,豆瓣图书标签: 中国文学,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,(187571人评价),"令人心碎却无能为力的真实故事。
向死而生的文学绝唱  打动万千读者的年度华语小说。
李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作..."
三体全集,豆瓣图书标签: 中国文学,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,(46249人评价),三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作...
围城,豆瓣图书标签: 中国文学,钱钟书 / 人民文学出版社 / 1991-2-1 / 39.00元,(50674人评价),《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的...
平凡的世界,豆瓣图书标签: 中国文学,"路遥 / 北京出版集团公司,北京十月文艺出版社 / 2012-3-1 / CNY 79.80",(41263人评价),《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人...
沉默的大多数,豆瓣图书标签: 中国文学,王小波 / 中国青年出版社 / 1997-10 / 27.00元,(99114人评价),这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见...
许三观卖血记,豆瓣图书标签: 中国文学,余华 / 作家出版社 / 2012-9 / 24.00元,(45788人评价),《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述...
朝花夕拾,豆瓣图书标签: 中国文学,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,(83887人评价),"《小引》
《狗·猫·鼠》
《阿长与山海经》
《二十四孝图》
《五猖会》
《无常》
《从百草园到三味书屋》
《父亲的病》
《琐记》
《藤野先生》
《范爱农》
..."
人生海海,豆瓣图书标签: 中国文学,麦家 / 北京十月文艺出版社 / 2019-4 / 55.00元,(30128人评价),"“他是全村最出奇古怪的人，古怪的名目要扳着指头一个一个数：
第一，他当过国民党军队的上校，是革命群众要斗争的对象。但大家一边斗争他，一边又巴结讨好他，家里出..."
﻿撒哈拉的故事,豆瓣图书标签: 随笔,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,(76140人评价),三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后...
我们仨,豆瓣图书标签: 随笔,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,(236920人评价),《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...
看见,豆瓣图书标签: 随笔,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,(273853人评价),《看见》是知名记者和主持人柴静讲述央视十年历程的自传性作品，既是柴静个人的成长告白书，某种程度上亦可视作中国社会十年变迁的备忘录。十年前她被选择成为国家电视...
撒哈拉的故事,豆瓣图书标签: 随笔,三毛 / 皇冠出版社 / 1976 / 160 TWD,(185527人评价),"三毛作品中最膾炙人口的《撒哈拉的故事》﹐
由１２篇精采動人的散文結合而成﹐
其中＜沙漠中的飯店＞﹐
是三毛適應荒涼單調的沙漠生活後﹐
重新拾筆的第一篇文字﹐..."
